SeqNum,GpsLon,GpsLat,CamLon,CamLat,Timestamp
181,-2.602526,51.4558161,-2.602526,51.4558162,1549879531178
182,-2.602526,51.4558161,-2.602526,51.4558162,1549879531197
183,-2.602526,51.4558161,-2.602526,51.4558162,1549879531221
184,-2.602526,51.4558161,-2.602526,51.4558162,1549879531240
185,-2.602526,51.4558161,-2.602526,51.4558162,1549879531259
186,-2.602526,51.4558161,-2.602526,51.4558162,1549879531280
187,-2.602526,51.4558161,-2.602526,51.4558162,1549879531302
188,-2.602526,51.4558161,-2.602526,51.4558162,1549879531321
189,-2.602526,51.4558161,-2.602526,51.4558162,1549879531342
190,-2.602526,51.4558161,-2.602526,51.4558162,1549879531364
191,-2.602526,51.4558161,-2.602526,51.4558162,1549879531383
192,-2.602526,51.4558161,-2.602526,51.4558162,1549879531404
193,-2.602526,51.4558161,-2.602526,51.4558162,1549879531426
194,-2.602526,51.4558161,-2.602526,51.4558162,1549879531446
195,-2.602526,51.4558161,-2.602526,51.4558162,1549879531467
196,-2.602526,51.4558161,-2.602526,51.4558162,1549879531490
197,-2.602526,51.4558161,-2.602526,51.4558162,1549879531512
198,-2.602526,51.4558161,-2.602526,51.4558162,1549879531531
199,-2.602526,51.4558161,-2.602526,51.4558162,1549879531552
200,-2.602526,51.4558161,-2.602526,51.4558162,1549879531571
201,-2.602526,51.4558161,-2.602526,51.4558162,1549879531593
202,-2.602526,51.4558161,-2.602526,51.4558162,1549879531615
203,-2.602526,51.4558161,-2.602526,51.4558162,1549879531634
204,-2.602526,51.4558161,-2.602526,51.4558162,1549879531655
205,-2.602526,51.4558161,-2.602526,51.4558162,1549879531676
206,-2.602526,51.4558161,-2.602526,51.4558162,1549879531696
207,-2.602526,51.4558161,-2.602526,51.4558162,1549879531719
208,-2.602526,51.4558161,-2.602526,51.4558162,1549879531740
209,-2.602526,51.4558161,-2.602526,51.4558162,1549879531764
210,-2.602526,51.4558161,-2.602526,51.4558162,1549879531784
211,-2.602526,51.4558161,-2.602526,51.4558162,1549879531805
212,-2.602526,51.4558161,-2.602526,51.4558162,1549879531828
213,-2.602526,51.4558161,-2.602526,51.4558162,1549879531847
214,-2.602526,51.4558161,-2.602526,51.4558162,1549879531873
